2018-08-03 16:21:25.047 INFO  27222 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-08-03 16:21:25.592 INFO  27767 --- [ main ] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-03 16:21:25.895 INFO  28070 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5158b42f: startup date [Fri Aug 03 16:21:18 KST 2018]; root of context hierarchy
2018-08-03 16:21:25.999 INFO  28174 --- [ main ] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-03 16:21:25.999 INFO  28174 --- [ main ] o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-03 16:21:26.026 INFO  28201 --- [ main ] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in apiExceptionController
2018-08-03 16:21:26.026 INFO  28201 --- [ main ] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in validationExceptionControllerAdvice
2018-08-03 16:21:26.075 INFO  28250 --- [ main ] o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2018-08-03 16:21:26.417 INFO  28592 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-08-03 16:21:26.420 INFO  28595 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-08-03 16:21:26.431 INFO  28606 --- [ main ] o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-08-03 16:21:26.438 INFO  28613 --- [ main ] o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2018-08-03 16:21:26.438 INFO  28613 --- [ main ] s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2018-08-03 16:21:26.468 INFO  28643 --- [ main ] s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2018-08-03 16:21:26.485 INFO  28660 --- [ main ] s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
